VORP,PER,WS,FT,BPM,Rk_Conference,USG%,Trp Dbl,AST,2P%
3.0,21.4,6.1,5.0,3.9,3.0,29.1,0.0,3.0,0.48
-0.1,8.6,1.7,0.4,-2.4,1.0,11.9,0.0,1.1,0.533
-1.3,7.6,-0.8,1.2,-5.1,15.0,18.2,0.0,2.6,0.446
0.0,8.3,1.8,0.2,-2.0,9.0,13.0,0.0,0.5,0.366
1.1,13.7,5.0,1.7,0.0,11.0,16.3,0.0,1.4,0.494
9.3,30.6,13.1,8.8,11.1,6.0,41.7,0.5185185185185185,10.4,0.459
0.4,15.4,3.2,2.5,-1.0,12.0,19.5,0.0144927536231884,4.8,0.502
0.6,12.4,3.9,1.8,-1.1,10.0,20.3,0.0,2.0,0.466
3.5,20.1,8.5,3.7,3.3,4.0,26.5,0.0,3.5,0.538
0.0,11.9,1.3,1.3,-2.0,9.0,21.6,0.0,2.1,0.466
0.3,10.3,2.0,0.9,-1.4,1.0,15.6,0.0,2.6,0.467
-0.1,11.5,0.6,0.6,-2.5,15.0,20.0,0.0,1.2,0.466
0.7,15.6,4.1,1.8,-0.6,15.0,19.2,0.0,1.1,0.527
-0.1,12.6,1.5,0.7,-2.2,8.0,18.5,0.0,1.0,0.483
1.9,15.8,4.6,3.2,0.8,11.0,22.3,0.0129870129870129,5.9,0.453
0.7,12.7,2.5,0.8,-0.3,12.0,16.9,0.0,1.2,0.513
0.6,13.5,5.8,1.7,-0.8,7.0,14.4,0.0,1.1,0.549
-0.4,11.0,1.2,1.7,-3.0,13.0,19.4,0.0,2.7,0.412
0.8,13.1,4.2,1.0,-0.6,8.0,15.2,0.0,1.1,0.572
0.8,10.2,3.1,0.7,-0.2,4.0,11.6,0.0,0.5,0.552
2.3,16.9,6.8,2.3,1.6,10.0,21.7,0.0,1.7,0.537
0.4,13.3,3.2,2.0,-1.1,11.0,19.2,0.0,2.0,0.488
-0.6,10.5,0.7,2.1,-3.6,13.0,20.3,0.0,1.2,0.458
1.6,13.0,5.3,1.1,1.1,3.0,14.1,0.0,4.2,0.463
2.5,17.0,5.1,2.0,2.8,9.0,22.0,0.0,3.6,0.548
1.8,17.1,3.8,1.8,1.3,10.0,23.5,0.0,7.3,0.498
1.1,12.8,3.8,0.8,0.4,5.0,18.5,0.0,1.8,0.454
-0.5,8.7,1.6,2.1,-3.4,7.0,16.4,0.0,2.8,0.363
-0.4,8.0,2.7,1.3,-2.7,10.0,11.5,0.0,1.8,0.428
4.3,16.5,8.2,2.0,4.9,1.0,16.2,0.0657894736842105,7.0,0.494
0.8,16.3,4.6,3.1,-0.8,11.0,25.3,0.0,1.5,0.492
0.8,11.9,3.1,2.0,-0.8,11.0,19.4,0.0,2.9,0.432
-0.5,9.1,2.0,0.9,-3.2,4.0,14.6,0.0,0.6,0.52
0.0,11.5,2.8,0.6,-2.0,9.0,15.8,0.0,5.1,0.489
2.1,12.3,6.0,1.2,1.0,3.0,14.1,0.0,2.2,0.556
0.0,11.8,1.3,0.8,-2.0,12.0,21.3,0.0,1.5,0.461
0.8,13.6,4.0,1.7,-0.5,6.0,21.4,0.0,2.6,0.491
0.3,10.1,2.9,1.1,-1.3,6.0,12.1,0.0,0.6,0.514
0.7,12.9,2.3,0.4,1.3,2.0,15.7,0.0,0.7,0.557
0.6,19.0,3.4,1.3,-0.3,12.0,20.3,0.0,1.3,0.538
1.0,16.6,2.6,0.6,2.8,1.0,17.9,0.0,2.2,0.541
0.2,12.1,2.7,0.8,-1.6,10.0,17.4,0.0,2.2,0.501
-0.6,12.2,2.9,1.5,-3.2,13.0,13.2,0.0,0.9,0.528
0.3,13.7,4.1,2.4,-1.5,4.0,20.5,0.0,1.7,0.483
-0.1,14.9,2.7,1.9,-2.4,13.0,21.5,0.0,0.4,0.528
1.6,15.2,5.1,0.8,1.6,2.0,19.5,0.0,3.5,0.474
0.7,12.2,4.2,1.1,-0.9,12.0,14.4,0.0,2.3,0.49
2.4,17.9,6.4,4.5,2.1,5.0,24.4,0.0,3.7,0.486
0.8,18.9,4.1,1.7,0.8,3.0,19.7,0.0,1.0,0.624
2.2,22.6,9.5,2.9,1.5,9.0,22.7,0.0,0.7,0.557
-0.2,13.1,3.0,1.1,-2.7,10.0,14.1,0.0,0.4,0.513
4.5,22.2,10.4,5.0,5.0,5.0,27.6,0.0,3.5,0.506
1.7,21.1,5.6,2.2,1.8,7.0,24.3,0.0,2.3,0.536
1.1,14.5,3.8,1.4,0.7,8.0,19.8,0.0,1.1,0.52
-0.5,10.8,2.0,1.8,-3.1,14.0,17.9,0.0,1.6,0.455
0.5,11.6,2.1,1.6,-1.0,5.0,20.5,0.0,2.4,0.446
1.0,14.4,3.4,0.7,1.1,5.0,14.8,0.0,1.4,0.546
-0.4,8.2,0.9,0.8,-3.3,4.0,17.8,0.0,1.0,0.445
0.2,10.7,1.9,0.4,-1.1,3.0,16.9,0.0,0.4,0.442
0.2,14.3,2.1,2.1,-1.6,15.0,22.8,0.0,2.4,0.468
0.5,13.2,2.0,2.1,-0.9,15.0,21.5,0.0,1.4,0.452
2.4,21.8,7.5,2.9,2.1,12.0,23.5,0.0,2.3,0.522
0.5,16.4,3.9,1.2,-0.7,7.0,20.3,0.0,1.2,0.507
2.7,19.0,6.8,3.3,2.5,6.0,25.5,0.0,1.8,0.483
-0.6,8.6,1.2,0.5,-4.2,5.0,13.0,0.0,0.4,0.457
1.1,12.9,3.5,0.8,1.4,2.0,14.4,0.0,1.6,0.488
1.7,16.0,4.3,2.6,0.8,10.0,23.0,0.0,2.5,0.476
0.3,14.0,3.3,3.1,-1.4,4.0,24.9,0.0,2.3,0.44
1.5,17.7,4.4,2.8,0.9,13.0,24.6,0.0,1.3,0.454
-0.2,11.1,1.4,1.9,-2.4,15.0,19.9,0.0,1.8,0.354
6.7,26.0,13.7,4.1,9.1,2.0,25.8,0.0,2.6,0.528
0.3,14.3,2.6,2.0,-1.5,13.0,23.5,0.0,3.1,0.482
0.8,12.9,3.0,0.4,0.8,1.0,15.1,0.0,1.0,0.545
0.0,11.7,2.1,0.8,-2.0,1.0,18.1,0.0,1.2,0.508
-0.3,8.4,2.5,1.0,-2.6,6.0,12.5,0.0,1.5,0.471
1.9,16.8,6.1,3.5,0.6,12.0,23.0,0.0,4.2,0.466
0.8,11.0,2.6,0.4,-0.2,4.0,16.0,0.0,0.6,0.51
0.0,11.5,0.9,0.4,-1.9,1.0,19.5,0.0,1.0,0.5
0.5,13.8,3.5,3.1,-0.9,5.0,22.2,0.0,3.0,0.446
-0.5,7.6,0.4,0.8,-3.3,3.0,15.9,0.0,2.0,0.405
-0.3,13.5,0.4,2.2,-2.5,9.0,27.3,0.0,4.7,0.449
-0.3,6.6,1.1,0.4,-3.2,3.0,11.9,0.0,0.4,0.452
0.5,16.8,3.1,1.5,0.1,6.0,18.4,0.0,0.6,0.514
-0.8,7.4,0.3,0.4,-5.9,12.0,13.5,0.0,0.5,0.409
0.9,17.3,4.1,1.9,0.6,15.0,13.9,0.0,1.1,0.552
1.2,13.2,4.8,1.3,-0.1,4.0,19.8,0.0,2.1,0.505
0.4,12.5,2.3,0.6,-0.8,10.0,16.7,0.0,1.4,0.473
0.9,16.2,3.0,2.0,-0.2,15.0,18.8,0.0,1.8,0.521
1.4,16.0,5.9,0.9,1.2,4.0,13.6,0.0,1.7,0.624
-0.9,4.2,-0.8,0.2,-5.7,12.0,13.5,0.0,0.6,0.319
1.1,14.6,5.7,2.5,-0.3,11.0,20.1,0.0,2.7,0.506
4.2,21.5,9.7,5.8,4.3,4.0,29.6,0.0,6.2,0.462
0.5,16.5,4.1,5.3,-1.3,13.0,27.2,0.0,2.0,0.486
-0.8,9.2,0.5,1.2,-3.8,15.0,16.7,0.0,1.9,0.473
0.3,13.5,2.2,1.3,-1.2,7.0,20.2,0.0,1.9,0.5
1.9,17.2,6.1,2.6,1.5,5.0,17.1,0.0,2.8,0.52
0.6,16.2,2.7,1.1,0.0,14.0,19.8,0.0,1.1,0.511
1.5,17.1,5.9,2.5,0.8,13.0,16.7,0.0,1.7,0.54
0.6,9.7,4.1,0.6,-1.0,3.0,13.7,0.0,2.1,0.502
2.6,21.5,6.7,1.9,3.9,10.0,19.9,0.0,2.4,0.541
0.9,17.2,3.9,3.0,-0.2,12.0,24.7,0.0,1.1,0.466
-0.5,11.0,1.7,0.9,-3.8,12.0,11.4,0.0,0.4,0.533
1.0,14.0,3.8,0.7,0.8,2.0,17.0,0.0,2.3,0.564
1.8,14.5,5.6,1.3,1.1,10.0,16.2,0.0,1.6,0.536
0.5,12.2,4.3,1.2,-1.0,5.0,16.4,0.0,1.2,0.506
1.4,24.0,8.1,2.4,1.2,3.0,23.4,0.0,0.4,0.579
-0.4,9.9,1.2,1.3,-2.9,8.0,17.8,0.0,1.3,0.46
0.6,18.3,4.4,1.0,-0.4,8.0,16.1,0.0,0.6,0.583
1.5,15.6,3.9,2.2,1.5,9.0,21.1,0.0,1.5,0.43
0.6,10.9,3.7,1.6,-1.0,6.0,17.2,0.0,1.9,0.432
0.4,15.3,3.8,1.2,-0.8,11.0,13.2,0.0,0.6,0.567
0.9,15.4,2.8,1.0,0.0,6.0,23.8,0.0,4.1,0.481
0.7,12.7,4.0,1.4,-0.9,10.0,16.5,0.0,1.9,0.543
0.0,10.3,2.4,0.8,-2.0,4.0,13.5,0.0,0.8,0.421
1.2,12.7,4.0,1.4,0.1,5.0,16.9,0.0,1.7,0.468
1.1,13.6,4.0,1.8,0.0,4.0,18.8,0.0,4.4,0.482
9.5,31.5,17.9,4.6,11.9,1.0,32.6,0.0253164556962025,6.7,0.566
0.2,14.9,-0.4,3.5,-1.6,15.0,32.2,0.0,2.8,0.41
1.2,13.4,4.1,1.6,0.3,3.0,20.0,0.0,2.3,0.502
0.6,11.7,2.6,1.5,-0.9,7.0,17.9,0.0131578947368421,2.1,0.449
3.9,21.3,9.1,5.9,4.4,9.0,24.4,0.0298507462686567,4.8,0.489
-0.3,10.1,0.8,0.7,-2.8,14.0,17.5,0.0,1.1,0.416
1.3,12.4,4.5,0.8,0.8,3.0,12.3,0.0,1.4,0.589
2.0,15.6,5.0,2.3,1.2,5.0,21.4,0.0285714285714285,5.8,0.492
0.7,10.3,2.3,0.2,0.2,9.0,13.5,0.0,1.2,0.531
-0.2,11.1,1.9,1.2,-2.7,4.0,19.4,0.0,1.5,0.495
1.5,13.7,4.3,2.0,0.1,7.0,21.2,0.0,4.7,0.472
-0.7,8.6,0.3,1.1,-3.8,11.0,17.6,0.0,1.2,0.474
1.0,11.7,4.6,0.9,-0.1,10.0,12.7,0.0,2.1,0.534
-0.4,10.9,2.8,0.9,-2.9,9.0,17.3,0.0,0.7,0.47
2.2,17.5,6.7,2.4,2.2,4.0,22.6,0.0,1.4,0.484
3.3,19.0,8.5,3.4,3.3,1.0,23.4,0.0,2.4,0.467
0.9,18.3,4.3,2.5,-0.3,7.0,24.6,0.0147058823529411,2.1,0.482
0.6,14.0,3.2,0.7,-0.1,3.0,17.4,0.0,1.0,0.523
0.0,15.1,3.5,0.7,-2.0,11.0,15.4,0.0,0.4,0.532
1.9,16.9,4.6,1.2,1.0,11.0,18.8,0.0833333333333333,11.7,0.479
7.8,28.2,14.5,6.2,9.9,3.0,30.6,0.0138888888888888,5.0,0.569
2.5,18.6,8.0,2.4,1.8,1.0,26.3,0.0,2.1,0.51
1.4,16.6,6.2,1.9,0.9,7.0,15.7,0.0,1.5,0.589
0.4,14.7,3.8,1.6,-1.1,14.0,12.7,0.0,1.0,0.585
0.4,13.6,3.3,0.8,-1.1,2.0,19.5,0.0,0.9,0.467
4.3,22.2,9.2,5.5,4.4,5.0,31.3,0.0,6.8,0.45
-0.2,15.2,2.7,2.3,-2.5,13.0,22.8,0.0,0.6,0.516
-0.7,9.2,1.2,0.9,-3.4,15.0,16.2,0.0,1.3,0.42
6.8,25.3,13.3,8.8,6.6,8.0,32.5,0.0365853658536585,7.5,0.494
0.2,12.4,3.7,0.6,-1.6,7.0,13.0,0.0,1.0,0.516
0.2,10.7,1.4,0.6,-1.3,14.0,14.5,0.0,1.0,0.523
1.2,15.9,8.7,1.8,0.2,1.0,11.7,0.0,0.8,0.588
1.7,17.6,5.4,0.8,2.9,2.0,18.0,0.0,1.8,0.546
-1.2,9.9,-2.1,2.1,-4.2,10.0,25.7,0.0,5.5,0.379
1.0,10.2,3.4,0.5,0.5,3.0,9.1,0.0,0.7,0.608
0.2,14.6,3.7,0.9,-1.4,1.0,16.1,0.0,0.4,0.574
0.6,17.8,4.1,1.6,-0.2,8.0,18.5,0.0,0.6,0.508
-0.6,9.7,0.9,0.9,-3.6,7.0,14.9,0.0,3.6,0.419
0.9,15.9,2.7,1.0,0.8,5.0,22.0,0.0,1.2,0.529
0.9,14.2,4.4,1.5,-0.2,11.0,18.6,0.0,0.9,0.458
0.5,13.3,2.9,0.9,-0.5,5.0,15.6,0.0,0.9,0.576
1.0,15.5,4.7,1.7,-0.4,6.0,21.9,0.0,5.8,0.527
0.1,12.0,2.7,1.5,-1.9,6.0,17.9,0.0,3.9,0.471
0.5,10.8,3.5,1.3,-1.2,14.0,12.7,0.0,2.2,0.455
1.7,13.2,6.2,1.5,0.7,7.0,15.8,0.0,3.5,0.466
1.3,16.7,4.8,1.3,0.6,4.0,21.8,0.0,2.3,0.458
