MP,PTS,PER,VORP,WS,TOV,STL%,BPM,Rk_Year,AST%
36.1,28.0,27.5,5.4,11.0,2.4,1.7,5.9,21,11.1
35.5,19.2,16.3,0.8,4.6,1.3,1.2,-0.8,22,7.7
26.3,7.6,14.3,2.3,6.9,0.8,1.8,2.5,1,16.7
15.6,6.8,14.9,0.1,2.4,0.6,0.8,-1.5,15,5.7
32.6,13.4,17.3,3.5,9.4,0.6,2.2,3.3,9,6.7
10.8,2.5,8.4,-0.4,0.5,0.7,1.9,-5.0,20,6.1
13.6,4.9,13.4,0.4,1.8,0.5,1.7,-0.1,18,4.7
11.6,3.1,12.2,-0.2,1.6,0.5,1.4,-3.1,7,2.7
27.4,9.5,9.0,-0.5,1.4,1.6,1.0,-2.8,27,12.9
36.4,29.1,27.4,8.0,15.0,5.7,2.0,8.7,3,50.7
27.3,14.5,15.2,1.4,4.8,1.3,1.3,0.5,11,14.3
30.7,9.5,13.0,1.6,5.3,1.5,2.3,1.1,3,18.8
16.7,9.4,17.8,0.3,1.8,1.2,1.5,-0.8,14,9.9
30.7,14.8,16.4,1.2,5.1,1.3,0.8,0.1,7,5.2
18.4,8.2,19.0,0.6,3.4,1.4,1.5,-0.3,25,11.5
24.7,10.0,15.7,0.6,3.1,1.8,2.0,-0.6,30,12.9
29.2,8.5,9.7,0.2,3.4,0.7,1.2,-1.7,14,5.9
26.5,10.4,18.1,2.2,6.0,1.7,1.6,2.0,18,19.8
35.1,25.2,23.0,3.4,8.9,2.5,1.6,3.4,5,29.7
24.1,9.4,14.7,1.1,3.1,1.4,1.6,0.3,19,32.5
32.4,15.3,19.2,2.8,8.1,2.6,1.9,2.2,13,36.4
16.6,5.7,9.8,0.0,1.1,1.0,2.2,-1.8,11,8.4
31.3,14.9,16.5,1.2,4.6,1.3,1.9,0.7,18,13.6
29.4,12.8,17.2,1.7,4.4,2.2,1.8,0.8,26,35.7
22.2,9.2,10.5,-0.6,0.7,1.1,1.2,-3.6,26,8.1
14.4,6.3,11.5,-0.1,0.6,0.7,1.5,-2.5,29,13.0
17.2,4.3,11.5,-0.4,1.7,0.8,0.9,-4.1,16,4.6
29.0,8.6,8.1,0.0,0.8,0.6,1.7,-2.1,5,7.3
32.4,13.9,14.9,1.7,6.7,1.1,1.6,0.9,4,10.1
22.3,7.8,11.1,-0.3,0.7,1.9,1.6,-2.7,27,35.4
34.0,21.6,22.6,3.5,7.7,2.3,1.4,4.7,6,24.5
16.7,6.7,13.8,0.4,2.2,0.9,2.1,-0.4,22,20.0
28.8,9.4,8.5,-1.4,-0.3,1.5,1.1,-4.4,28,10.5
14.4,5.7,13.6,0.1,2.3,0.8,1.0,-1.8,9,5.0
18.0,8.4,14.0,0.5,2.8,0.9,1.9,-0.5,7,9.3
12.1,4.5,12.9,0.7,2.3,0.5,1.3,1.3,2,8.3
24.0,7.1,12.4,1.8,5.0,1.3,2.6,1.6,8,17.2
12.3,4.6,13.6,0.0,1.6,0.5,1.1,-2.0,11,6.4
17.3,6.7,17.6,1.0,4.6,0.4,2.4,1.0,22,6.1
14.8,4.9,7.2,-0.7,-0.7,0.9,1.5,-5.0,26,9.6
18.3,9.1,19.2,0.8,4.1,0.8,0.9,1.0,3,9.6
28.2,15.0,14.8,1.4,4.8,1.3,1.2,0.4,6,7.8
24.0,7.1,10.3,0.3,2.0,1.4,1.3,-1.4,1,15.7
14.5,5.3,17.1,0.3,3.6,0.4,0.9,-0.9,17,3.9
22.1,5.0,15.2,0.4,2.2,1.3,1.5,-0.5,25,14.1
34.0,15.1,15.8,1.9,4.6,2.5,1.6,0.8,20,27.7
15.6,6.3,20.5,1.2,3.9,1.0,1.5,1.9,25,14.8
23.0,10.6,11.8,0.0,1.3,1.2,1.0,-2.0,23,10.3
29.0,12.8,15.5,1.7,4.6,1.3,2.0,1.2,22,16.0
31.0,16.2,13.2,1.1,3.8,1.6,1.0,-0.1,3,12.3
21.9,4.2,6.6,-0.1,0.4,0.6,1.1,-2.5,24,5.8
22.2,7.1,12.1,-0.2,1.7,1.6,1.9,-2.4,9,30.4
34.5,21.9,22.2,4.5,10.4,1.9,1.5,5.0,8,18.2
20.0,7.7,12.7,0.7,2.5,0.8,2.0,-0.3,25,9.2
27.4,12.8,17.0,2.5,5.1,2.3,1.8,2.8,17,20.9
19.1,4.4,15.5,1.1,3.7,0.8,2.4,2.0,7,5.4
20.4,5.7,8.3,-0.4,2.1,0.7,0.8,-3.1,5,6.6
27.6,6.7,10.5,1.0,3.6,0.8,2.5,-0.3,7,6.0
23.2,9.2,10.8,-0.5,2.0,0.9,1.2,-3.1,27,10.5
20.5,8.7,20.4,1.2,4.0,1.0,3.1,2.4,22,8.1
27.8,12.0,11.4,-0.1,2.5,1.6,1.2,-2.2,6,15.0
14.8,6.2,15.6,0.5,1.7,0.9,0.9,0.5,14,16.5
15.8,3.8,9.3,-0.1,2.1,0.5,1.0,-2.4,4,8.1
11.4,4.7,14.4,-0.2,1.0,0.6,0.6,-3.4,13,6.7
13.3,3.4,5.3,-0.4,-0.3,0.7,0.8,-5.1,29,5.5
33.4,25.3,24.6,5.9,12.6,3.0,2.6,6.9,1,31.2
22.7,7.1,11.1,0.4,2.3,0.9,1.2,-1.0,23,7.7
26.3,12.8,12.8,-0.2,1.0,2.3,1.3,-2.3,27,14.3
16.2,6.2,12.4,-0.1,0.9,0.9,1.7,-2.4,20,24.2
28.5,10.7,11.6,0.4,4.2,0.8,1.2,-1.3,16,6.1
12.6,2.7,8.5,-0.1,0.6,0.7,1.8,-2.4,9,16.7
37.0,25.1,25.9,5.2,12.7,2.6,0.9,4.7,24,13.2
30.5,10.2,10.7,0.4,2.2,1.2,1.9,-1.1,17,12.7
21.4,10.2,17.5,0.4,2.0,2.2,1.8,-0.9,16,13.9
10.1,3.5,9.8,-0.2,0.2,0.6,1.1,-4.2,20,18.7
20.1,6.5,15.0,1.1,5.0,1.0,1.6,0.6,4,13.0
28.7,12.7,14.5,0.6,3.7,1.1,1.4,-1.0,26,10.5
19.7,7.9,11.0,-0.4,1.2,1.2,1.0,-3.0,26,20.4
15.6,4.5,9.1,-0.2,1.2,0.7,2.3,-2.7,28,10.7
20.1,5.9,6.9,-1.0,0.8,1.0,1.2,-4.5,10,7.2
28.7,15.6,15.3,0.6,1.3,2.8,2.3,-0.8,28,26.8
20.7,6.1,11.5,0.6,2.5,0.5,1.4,-0.3,13,4.7
33.9,14.0,23.3,4.4,14.3,1.8,0.9,4.4,8,5.7
26.4,14.2,17.0,1.0,2.5,0.9,1.1,0.8,22,10.6
29.9,8.1,15.3,0.7,7.3,0.8,0.8,-0.7,5,4.6
34.9,23.1,20.1,3.5,8.5,2.0,1.5,3.3,9,16.2
15.6,4.2,11.5,-0.1,1.6,0.6,1.5,-2.4,7,2.9
15.7,4.8,8.3,0.0,1.8,0.4,0.9,-2.0,17,4.8
26.3,12.3,12.0,0.0,1.9,1.6,1.4,-2.1,6,15.2
22.6,8.7,13.7,0.3,2.6,1.5,2.2,-1.3,30,13.4
30.1,6.6,9.6,0.6,4.2,0.6,1.9,-1.0,10,4.6
22.1,6.0,12.2,-0.6,2.9,1.2,0.7,-3.2,26,6.0
7.0,1.8,6.3,-0.2,0.1,0.2,1.9,-4.5,26,9.2
26.9,11.0,11.6,0.5,2.1,1.7,2.3,-1.0,11,14.2
31.5,16.9,19.3,2.3,5.9,1.7,1.7,3.8,8,22.8
14.1,8.1,18.9,0.1,2.3,0.5,1.0,-1.4,13,11.0
15.5,4.9,13.1,-0.2,3.0,0.7,0.7,-2.7,19,3.9
17.8,4.4,7.2,-0.3,0.4,0.9,2.1,-3.0,19,10.5
17.9,9.1,18.9,0.8,4.1,1.1,2.2,0.8,3,8.6
25.5,7.5,9.0,-0.1,2.0,1.0,1.6,-2.3,5,7.8
18.3,6.2,11.0,0.1,1.5,0.9,1.7,-1.6,24,9.6
23.6,9.2,12.8,1.1,3.8,0.9,1.0,0.4,8,12.6
31.2,10.8,15.4,0.8,6.8,1.5,0.8,-0.8,9,6.8
22.7,11.8,14.8,-0.1,1.2,1.8,0.9,-2.5,27,9.0
15.8,6.5,13.1,0.0,1.6,0.7,0.9,-2.0,7,6.6
38.1,29.0,25.3,6.8,13.3,4.6,2.2,6.6,17,35.4
14.8,5.6,13.3,0.3,1.6,0.7,2.1,-0.3,4,10.4
